auction_number,accepted_amount_2nd_round,maturity_date,amount_to_central_bank,quantity_accepted_2nd_round,quantity_accepted,rate,auction_type,auction_date,accepted_amount,benchmark,quantity_tendered,bond_type,quantity_to_central_bank,settlement_date
322,0,2017-07-01,0.0,0,1500000,13.6529,Venda,2015-06-18,1157237372.01,LTN 24 meses,1500000,LTN,0,2015-06-19
322,"31525135,63",2016-04-01,0.0,35000,5000000,14.3248,Venda,2015-06-18,4503590804.55,LTN 12 meses,5000000,LTN,0,2015-06-19
329,-,2015-10-01,0.0,-,493300,13.709,Troca,2015-06-24,492295065.52,LTN 6 meses,3000000,LTN,0,2015-06-25
329,-,2015-07-01,0.0,-,493300,13.709,Compra,2015-06-24,492293352.81,,3000000,LTN,0,2015-06-25
333,-,2025-01-01,0.0,-,0,0.0,Compra,2015-06-25,0.0,NTN-F 10 anos,150000,NTN-F,0,2015-06-26
336,0,2025-01-01,0.0,0,1000000,12.6637,Venda,2015-06-25,910465604.55,NTN-F 10 anos,1000000,NTN-F,0,2015-06-26
333,-,2023-01-01,0.0,-,0,0.0,Compra,2015-06-25,0.0,,150000,NTN-F,0,2015-06-26
336,0,2021-01-01,0.0,0,3000000,12.84,Venda,2015-06-25,2832432045.08,NTN-F 7 anos,3000000,NTN-F,0,2015-06-26
335,0,2019-01-01,0.0,0,6000000,13.1198,Venda,2015-06-25,3900009185.04,LTN 48 meses,6000000,LTN,0,2015-06-26
335,0,2017-07-01,0.0,0,2500000,13.7399,Venda,2015-06-25,1930746004.13,LTN 24 meses,2500000,LTN,0,2015-06-26
335,"41701337,32",2015-10-01,0.0,43210,3000000,14.0799,Venda,2015-06-25,2895256004.36,LTN 6 meses,3000000,LTN,0,2015-06-26
341,"36796074,99",2055-05-15,0.0,13869,132650,6.09,Venda,2015-06-30,351935925.31,NTN-B 40 anos,300000,NTN-B,0,2015-07-01
341,"10214238,47",2035-05-15,0.0,3870,31400,6.16,Venda,2015-06-30,82875216.57,NTN-B 20 anos,300000,NTN-B,0,2015-07-01
341,"2272501,71",2023-05-15,0.0,870,288800,6.46,Venda,2015-06-30,754366085.11,NTN-B 10 anos,1000000,NTN-B,0,2015-07-01
341,"1979636,5",2019-05-15,0.0,755,445200,6.71,Venda,2015-06-30,1167330033.12,NTN-B 5 anos,1000000,NTN-B,0,2015-07-01
353,"212559367,23",2017-10-01,5051351595.8,281934,1500000,13.4329,Venda,2015-07-02,1130899610.63,LTN 24 meses,1500000,LTN,6700000,2015-07-03
353,857787946,2016-04-01,0.0,947032,5000000,14.275,Venda,2015-07-02,4528822396.02,LTN 6 meses,5000000,LTN,0,2015-07-03
354,0,2021-09-01,0.0,0,1500000,-0.008,Venda,2015-07-02,10408996239.0,LFT 6 anos,1500000,LFT,0,2015-07-03
353,"182979308,06",2019-07-01,5005360850.4,296109,1500000,12.9189,Venda,2015-07-02,926918676.48,LTN 48 meses,1500000,LTN,8100000,2015-07-03
366,0,2021-01-01,0.0,0,1500000,12.699,Venda,2015-07-08,1356381575.53,NTN-F 7 anos,1500000,NTN-F,0,2015-07-09
